	step01	frequency_step1
2211	Barbara Karsch-Chaés#239;eb (De)	2
2212	Liliana Cavani	1
2213	Názer Ádám történész	2
2214	Krisztina Rozanich	2
2215	D. Szebik Imre nyugalmazott püspök  Magyarországi Evangélikus Egyház	2
2216	Jurriaan Molenaar	5
2217	Bogya J Pál	2
2218	Sergiu Octav Lupse	2
2219	Merényi Zoltán	1
2220	Kováts Albert festőművész  művészeti író	2
2221	Barcs Krisztina	2
2222	Lowack Balázs	1
2223	Pittmann Zsófi	16
2224	Vincent Grunwald	2
2225	Kulcsár-Szabó Zoltán	2
2226	Łukasz Stokłosa	4
2227	Bakos Maxim	2
2228	Dömötörné Göttinger Eszter	2
2229	Páll Tomi	2
2230	Piróth Tímea	2
2231	Bogyó Virág	24
2232	Egyed Anna	4
2233	Bakonyi Mihály	7
2234	Várnagy Tibot	1
2235	Rohánszky Bence	5
2236	Grit Hachmeister	2
2237	Gellér B. István Munkácsy-díjas képzőművész megnyitója	1
2238	Olasz Divathétvége a Műcsarnokban	1
2239	Joanne J. Lee	1
2240	Juhász Dorina •• Kádár Joseph (Le’Kdar) •• Kádár Katalin •• Kántor József •• Kecskés Péter •• Kemény György •• Kipp Eva Nl •• Kobayashi Isao Jp •• Koffán Károly ifj. •• Koroknai Zsolt •• Kozma Alexandra •• Kutasi Károly •• Lakoma Agnieszka Pl ••	2
2241	Káldori Dániel	2
2242	Homor Andrea	2
2243	Tomay Katalin	2
2244	Escher Károly	4
2245	Uta Heinecke	23
2246	Böröcz Angelika	5
2247	Kascó Péter	2
2248	Szolnoki Szabolcs	8
2249	Szűcs Erzsébet	33
2250	Szőcs Géza	9
2251	Ormstad / Pourbaix	8
2252	Joanna Wężyk	2
2253	Haris László fotóművész	2
2254	A Cseh Centrum programja	2
2255	Fejér Megyei KollektívTárlat	2
2256	Mező János	2
2257	Orkesztika. Szimpózium	1
2258	Heinz Holliger	1
2259	Simon Márk	2
2260	Almagul Menlibayeva	2
2261	etc.	6
2262	Megnyitó performansz és party: 2016. június 16.	2
2263	Lorella Mastropasqua	2
2264	Pusztai Enikő	2
2265	Mózes Réka	3
2266	Hannover	1
2267	Tillmann J.A.	9
2268	Bárány Terézia	2
2269	Herbszt László	2
2270	a Mank ügyvezető igazgatója	4
2271	Tyekvicska Árpád	4
2272	Gallusz	1
2273	Bohus Zoltán	10
2274	Juliana Saiska (Bu)  Ventsislav Zankov (Bu)	2
2275	Guillermo Kahlo mexikói fotográfiái	2
2276	Benjamin Thaler festőművész	2
2277	Réz Attila	2
2278	Larissa Kopp (D)	2
2279	Székelyhidi Zsolt	8
2280	Hegedűs Endre	2
2281	Teliinger István	2
2282	Shigeru Takato	2
2283	Sándorfi István	4
2284	Dvd/Cd kiadványok	2
2285	Fábry Sándor	3
2286	KwieKulik	1
2287	a Debreceni Egyetem Műszaki Karának dékánja	2
2288	Vlad Nancă	6
2289	Juhász R. József költő	2
2290	Pilvi Takala	2
2291	Monhor Viktória–Balla Zoltán	2
2292	Babos Zsili Bertalan	18
2293	Péter Boldizsár	1
2294	Gulyás Márton  Krétakör	2
2295	Lucia Nimcová	2
2296	Reinhard Halsmayr	4
2297	Horváth László	13
2298	Uglár Csaba Munkácsy-díjas képzőművész	2
2299	Ekaterina Zhingel	2
2300	Cieklinski Sándor	8
2301	Peter Michalovič	4
2302	Feigl Nóra	15
2303	Korponovics Roland	9
2304	Tob Vivien	2
2305	Diana Šajdová és Mária Klaučová	2
2306	Adam Štech	2
2307	Csáky Mariann	7
2308	Beke László muvészettörténész	2
2309	Bálint Bianka	2
2310	Robert Kushner	2
2311	Gerd W. Fiedler	2
2312	Tomek Baran	2
2313	Duncan Watson	1
2314	Neray Katalin a Kortars Muveszeti Muzeum Ludwig	2
2315	London Fieldworks	4
2316	Markó Luca	4
2317	Bréda Zsófia - hegedű	1
2318	Surányi Z. András	2
2319	Kelemen Marcel	4
2320	Pataki Gábor művészettörténész	33
2321	Christoph Rauch/Menesi Attila	2
2322	a Népszabadság korábbi fotórovat-vezetője	2
2323	Hunya Gábor (főszerkesztő és műgyűjtő)	2
2324	Gordan Grlić Radman	2
2325	Nagy Gergely - Műértő	2
2326	Dékányné Varga Krisztina	5
2327	Forma- és vizuális környezettervező Msc: Barna Gergely	2
2328	Somogyi Laura (Gyergyószárhegy)	2
2329	Vibeke Mascini	4
2330	Bart Witte	2
2331	a Cseh Építészek Szövetségének elnöke	2
2332	Panda Tv	1
2333	Szőke Szabolcs	2
2334	A. Király András	6
2335	Oliver Ressler / Zanny Begg	2
2336	címzetes egyetemi docens	2
2337	Babos Bertalan festőművész	2
2338	Falconer Xavér Ferenc	1
2339	Csizek Gabriella	53
2340	Ioan Bunuº	1
2341	Közreműködik: Rákóczy Anna - fuvola és Kertész Rita - zongora	2
2342	Kiskun Múzeum	1
2343	Alexander Alberro	1
2344	Göbőlyös Luca	2
2345	közreműködik: Szlama László kaval és koboz	2
2346	Sgezdey-Mszáak Zotáln	2
2347	Curators Network	2
2348	kortárs magyar női művészek	2
2349	Stark István ▪ Csízy László	2
2350	Laznia Kortárs Művészeti Központ	2
2351	Béli Balázs	4
2352	Madarász Kathy Margit	2
2353	George Moldovan	2
2354	Pettendi Szabó Péter.	2
2355	Masami Akita (Merzbow)	2
2356	Szentjóby Tamás	14
2357	Kepes György	9
2358	Isabelle Le Normand	2
2359	Serge Charton	2
2360	Damir Pavic	2
2361	Juhász Márton András	2
2362	Erőss Nikolett  kurátor	2
2363	Zemira Alajbegovic és Neven Korda	2
2364	Dr.Hans Peter Haselsteiner	2
2365	Balogh Viktória	36
2366	Buttinger Gergely	2
2367	Hajdu István  művészettörténész	4
2368	Sápadtarcúak	1
2369	Básthy Ágnes	16
2370	A Várbazár szobrászai	2
2371	Ángel Marcos	2
2372	Lomography	2
2373	Nagy Krisztina x-T	2
2374	Rádóczy-Gyarmathy Gábor	2
2375	Ene-Liis Semper	3
2376	Gaál Tamás	8
2377	Szil Katalin	2
2378	Juhász R.József	2
2379	Kiállításmegnyitó	2
2380	Shreyas Karle	2
2381	Szilvásy Gipsy Folk Band	1
2382	Zöld Anikó festőművész	2
2383	Kővári Kamilla Virág	6
2384	Közreműködik: Karosi Júlia ének	2
2385	Matkócsik András	2
2386	Szabó Nóra képzőművész	1
2387	Neumann Eszter	2
2388	Ajdan Szalahova	2
2389	dr. Ferkai András	2
2390	Láng Kristóf	2
2391	Gyenes Gábor (Sk)	2
2392	Ferencz Attila	2
2393	Nagy Benjámin	11
2394	Garami Gréta művészettörténész	12
2395	Zbynìk Baladrán	2
2396	a FERi- feminista projekt galéria alapítója	2
2397	Halas István fotóművész	2
2398	Baldanders	1
2399	Magic Mosquitoz	2
2400	Mathilde Hörler	2
2401	Patrycja Rup	11
2402	Gulyás Judit textilművész	1
2403	Zagar	4
2404	Erin Jane Nelson	2
2405	Ferge Roland Sándor (BKF/CineWork Studio)	2
2406	Dla egyetemi docens	2
2407	Felix Ensslin	2
2408	Sebessy Barnabás	2
2409	Marek Grygiel	4
2410	dr. Csapó Csilla (Székesfehérvár Megyei Jogú Város Önkormányzata alpolgármestere	1
2411	Fekete Fruzsina	2
2412	Fejős Miklós- festőművész	2
2413	Készman József  kurátor	2
2414	Chim (David Seymour)	2
2415	hegedűn játszik Gazda Bence	2
2416	Lisl Ponger	1
2417	az Alkotók	2
2418	Kishonty Zsolt	2
2419	Jane Petrie	2
2420	Pintér Dia	7
2421	Gil @ Moti	2
2422	Tóth Pitya István	1
2423	Jónás Nikoletta	2
2424	a Nemzeti Örökség Intézete főigazgatója	2
2425	Országh Antal	2
2426	Antal István	40
2427	Jonas Mekas	8
2428	Vikentyij Dav	2
2429	Bonta Zoltán	2
2430	Palatinus Dóra	4
2431	Szabó Franciska festőművész kiállítása	2
2432	Kalmár János szobrászművész	7
2433	Majoros Lili	2
2434	Kompolthy Zsigmond	2
2435	Szabó Zoltán	3
2436	Duncsák Attila	1
2437	Hans Michael Kofoed-Hansen Dánia magyarországi nagykövete	1
2438	Takács Gábor	2
2439	Veszely Jelena szobrászművész	2
2440	Alacsony Zsóka	1
2441	Gindele Tibor	4
2442	Filó Vera	4
2443	Katalin Székely	1
2444	Örkényi  Antál	2
2445	Elő­adó: Ci­ek­lin­ski Sán­dor film­esz­té­ta	1
2446	Tésy Dániel	3
2447	Gokula Stoffel	1
2448	Zsikla Mónika	78
2449	Jurecskó László művészettörténész	2
2450	Guillaume Dégé	2
2451	Türk Péter	34
2452	Floszmann Attila	6
2453	Perlaki  Márton	1
2454	Gerle Margit	2
2455	Busa Pista	2
2456	Dallos Ádám (H)	2
2457	Gora Orsolya	2
2458	Riport: Szacsvay Pál	1
2459	Aleksandar Denic	1
2460	Ludwig Múzeum	17
2461	Szigeti Szilvia	10
2462	Dr. habil. Erőss István Dla	2
2463	Orosz Péter	17
2464	Háy Ágnes - Császári Gábor	2
2465	Miranda July	2
2466	Gera Gyula	2
2467	Elte Társadalomtudományi Kar)	2
2468	Gesine Grundmann	10
2469	média szakértő	2
2470	Farkas Imre	4
2471	Balogh László	17
2472	csoportos	28
2473	Hadas Miklós	3
2474	Koruhely Nikoletta	2
2475	Szilasi Alex - Makovecz Imre	2
2476	Zombori Béla	1
2477	Draviczky Ágnes	2
2478	Marie-Julie Debeauileu	2
2479	Nemes Ferenc	8
2480	Marie Mauzy	2
2481	Pablo Tomek (F)	4
2482	Pap Emese. Petrányi Luca	1
2483	Jarmila Mitríková & Dávid Demjanovič (Sk)	4
2484	Jana Gregorová	2
2485	Török Ferenc	9
2486	Döbröntei Zoltán	2
2487	Dóra Attila & Ferencz Krisztina	2
2488	Pintér András Ferenc (Paf)	4
2489	Szigeti Szilvia textiltervező iparművész	2
2490	Textiltriennálé	2
2491	Börcsök Enikő	2
2492	Johan van Dam	4
2493	Pintér István Pál	2
2494	Élőkép Társulat / Harmadik Hang Háza	2
2495	Mészáros László	2
2496	Szepes Hédi	15
2497	Mónus Teréz	2
2498	Kozma György	4
2499	Cornel Prahovean	2
2500	Prosek Zoltán	9
2501	Ligeti György	1
2502	Nevelő Judit	6
2503	Cristian Kobi (Ch)	2
2504	Sz. Szilágyi Gábor	6
2505	Agnes Varnai	2
2506	Moravánszky Ákos	2
2507	Sztefanu Mariana	2
2508	Marlene Lahmer	2
2509	Csaplár Vilmos	2
2510	Dézsi Kata	2
2511	tervezőgrafikus művész Ma	2
2512	Ewa Wolanska (Pl)	1
2513	Sternberg Sylvia	2
2514	Szabó Zsuzsanna	5
2515	Deák Nóra  Ica-D	2
2516	Stalter György	11
2517	Paul Harrsion	2
2518	Kelenyi Bela	1
2519	Milica Marcinková	2
2520	Kai Kaljo (Tallin)	4
2521	G. Szabó Beáta	4
2522	Karácsony Tamás	4
2523	A Bkf Médiaművészeti Intézetének Média design szakja	2
2524	Sandro Chia	2
2525	Maj Ajna	4
2526	Eletta Cordovani	2
2527	Alain Keler	2
2528	Pilinger Erzsébet művészettörténész	2
2529	Lumen Fotóművészeti Alapítvány	6
2530	Fekete Réka	4
2531	Miller&Maranta	1
2532	Tóth Mihály	26
2533	Barbara Sturm	6
2534	Grudl-Turi Gábor	2
2535	LaciésBalázs	2
2536	Koreográfus: Nyina Gasztyeva	1
2537	Szaf (Mécs Miklós  Fisher Judit)	2
2538	Sallai Tibor	17
2539	Emilia Dziubak	1
2540	André Claessens	2
2541	Romvári Márton	34
2542	Conzett	1
2543	Pongrácz Zoltán	1
2544	Jónás Péter	5
2545	-----	3
2546	Kanócz Petra	2
2547	Al-Ali Matej	2
2548	-Bodó Viktor	1
2549	Papp Gáspi (Haha)	2
2550	Váradi Zita	2
2551	Lapos László	8
2552	Biczó Piroska	1
2553	Rendező: Olga Jegorova (Caplija)	1
2554	Közreműködik a Nancy Brücke kísérleti űrzenekar	1
2555	Zsikla Mónica	1
2556	Tódór Zsuzsanna	2
2557	Kovács Gyula A.	2
2558	Sárkány Győző	3
2559	Bánki	3
2560	Zsemlye	1
2561	Hofer Noémi	2
2562	Sándor Orsolya	2
2563	Radu Belcin	4
2564	Margit Eszter	4
2565	Szenteleki Dóra	2
2566	Jessica Orcsik	2
2567	Regős Márton	2
2568	Porpáczy Zoltán	3
2569	Barbara Hindahl	4
2570	Szakolczay Lajos - irodalom- és művészetkritikus	2
2571	Knyihár Bence	2
2572	Kutasy Mercédesz	4
2573	Kovács Éva szociológus	2
2574	Jász Attila	2
2575	Vagrich Bakhchanyan	2
2576	Radosza Attila	1
2577	Pálfi György László	1
2578	Aica	2
2579	Cristi Pogăcean	2
2580	rendezés: Bérczi Zsófia	2
2581	Németh Domonkos Tamás	7
2582	Nagy Ildikó Noémi  író	2
2583	Róża Duda	1
2584	Association Apsolutno	2
2585	Szávai István rajztanár	2
2586	Monitor – kritikai platform és nyitott műhely	2
2587	Mik­lya Gábor	2
2588	Ötvös Zoltán	41
2589	Európai Tanács alelnöke	2
2590	Gulyás Andrea	12
2591	Tűsarok.org	2
2592	Barbara Szlávik	2
2593	Eduard Steinberg	2
2594	Joseph Beuys	26
2595	Kapitány Eszter	1
2596	Steiber Zsolt	4
2597	Toró Annamária	2
2598	Jonas Staal	10
2599	Ázbej Sándor	2
2600	Ada Weber	2
2601	Bardac / Beöthy	8
2602	adok-veszek	2
2603	dr. Katona Lucia	2
2604	Irina Sumitszkaja	2
2605	Nyílt Társadalom Archívum	2
2606	művészeti piac	2
2607	Marta Ignerska	1
2608	Kertész Éva	2
2609	Drégely László	2
2610	Tesch Katalin	11
2611	Mke és a Mome közös kiállítása	2
2612	Szücs György	10
2613	Evaldas Jansas (Lh)	3
2614	Halász Dani	2
2615	Kucsko	2
2616	kedden 29-én lesz!	1
2617	Lakner Zsuzsa	2
2618	L. Simon László – író	2
2619	Szarka Fedor Guido	2
2620	Cseh Gabriella	10
2621	Szigethy Anna - Sieglind Gabriel	2
2622	Hudi László színházi rendező	2
2623	Evgeny Korneev	2
2624	Puha Ferenc	2
2625	Katarina Schmidl	2
2626	Németh Péter Mikola	2
2627	Kováts Nóra	1
2628	Mezei András	2
2629	Szabó Ádám (H)	1
2630	assistant professor of history	2
2631	Róka Enikő művészettörténész	4
2632	Enyedi Ildikó	4
2633	Szebényi Ildikó	2
2634	a Budapest Galéria igazgatója	2
2635	a Bibiana igazgatója	2
2636	Kádár Kata	2
2637	Bösztöri Petra	2
2638	Zorka Wollny	9
2639	Adrien Tirtiaux	2
2640	Tajvani csoportos kiállítás	2
2641	Csontó Lajos (Hu)	2
2642	a MobilArt Facebook csoport adminisztrátora	2
2643	Creidi Imad (DocNomads-SZFE)	2
2644	Takács Dániel - gitár	1
2645	Yao Chung-Han	2
2646	Garam Gergő	2
2647	Fazekas Albert	2
2648	Kerber Balázs	2
2649	Luis Bunuel	2
2650	Nathalie Bachand	1
2651	Józsa Pál	1
2652	Raffai Réka	8
2653	Farkash Róbert	2
2654	Schmidt Gabriella	8
2655	Kirakat galéria	1
2656	Bp. Vii.	2
2657	Sz.A.F. (Mécs Miklós és Fischer Judit)	4
2658	Silvio Cattani	2
2659	Bujdosó Alpár	6
2660	Borsos Róbert	17
2661	Buza Kriszta	2
2662	Somogyvári Gergő - Feszt Judit	2
2663	Falvay Miklós.	3
2664	Oláh Orsolya	14
2665	Retextíl	2
2666	Chou You-Cheng	2
2667	Bojár Iván	7
2668	Hermina Alkotócsoport	6
2669	Petneházy Dániel	2
2670	Friso Wiersum	2
2671	Arnold Estfán	2
2672	Hajdu István művészettörténész	3
2673	Baranyai (b) András	12
2674	Judith Hopf	1
2675	Gabriel Kurtis (Galerie Architektury	2
2676	Tóth Ernő	6
2677	Dr. Kriza Ákos Miskolc Megyei Jogú Város polgármestere	2
2678	Véssey Endre	2
2679	Szurcsik József Munkácsy-díjas képzőművész	2
2680	Krulik Marcell	2
2681	Kovács Tamás László	13
2682	Éltes	2
2683	Áfrány Gábor	13
2684	Amruta Nemivant	2
2685	Szolnoki Művésztelep 2011	2
2686	Vásárhelyi Antal	7
2687	Kosztyi Klaudia	2
2688	Georg Krause	4
2689	Puhl Antal	10
2690	Walter Ebenhofer	4
2691	Ken Russell	1
2692	Ahmet Ögut	2
2693	2003. augusztus 16. 17.00 óra	1
2694	Yousuf Karsh	2
2695	Vékás Magdolna	11
2696	Mazsaroff Miklós	2
2697	a Modem igazgatója	7
2698	Vlad Morarium	2
2699	Harshiv Sharma	2
2700	Nyáry Krisztián	7
2701	a Szolnoki Művésztelep művészeti vezetője	2
2702	Miyokusi Mikuraki  médiaművész	1
2703	Klara Lidén	2
2704	Dr. Békés Csaba	1
2705	Krystian “Truth” Czaplicki	1
2706	Deák Botond	2
2707	Josef Wurm	8
2708	Gallyas Luca	2
2709	Rebeka Põldsam kurátor (Kortárs Művészeti Központ	2
2710	Ligeti Antal (1823-1890)	1
2711	Kutató-művésztelep a Homoród falvaiban	3
2712	Kóródi Magdolna	2
2713	Tánc: Ladjánszki Márta	2
2714	Pintér Márta	2
2715	Ladik Katalin költő	2
2716	Durica Katarina	2
2717	ifj. Kurtág György	4
2718	Hoek	3
2719	Jukka Haverinen	2
2720	Lefánti Zsófia Enikő	2
2721	A megnyitón közreműködik: Bóbics Diána (számítógépes hanginstalláció)	2
2722	Török Bianka	2
2723	Drégely László (1932-1990) festőművész és díszlettervező emlékkiállítása	2
2724	Marc-André Salamin svájci nagykövet	1
2725	Újszászi Tünde	2
2726	Peter Lowas	2
2727	a Ludwig Múzeum - Kortárs Művészeti Múzeum Gyűjteményi	1
2728	Gesztelyi Nagy Zsuzsanna	10
2729	Holden	1
2730	Rófusz Ferenc	2
2731	Roman Ondak (Pozsony)	2
2732	Gabriella Luptákova	2
2733	Boros György	3
2734	Anette Messager	2
2735	Lékai Sándor	2
2736	Őexellenciája Roland Galharague  francia nagykövet	2
2737	Tunyogi Henriett	2
2738	Szabó Imola	2
2739	Lima Victor	6
2740	Martiny Ivette	2
2741	Magyar művészkönyvek	2
2742	Sammy Kaschuba	1
2743	Vízi Tihamér festőművész	1
2744	Christa Sommerer	1
2745	Jávorkai Sándor	2
2746	Aj Vej-Vej	2
2747	Eln Ferenc	3
2748	Geert De Mot	1
2749	Pattantyús Gergely-üvegművész	2
2750	Timár Katalin kommunikációkutató (Ludwig Múzeum)	1
2751	Szalay Zoltán Táncsics- és Pulitzer-díjas fotóriporter	2
2752	Szabó Emőke	2
2753	Frenkó Zsolt	3
2754	Pála Zsófia	2
2755	Csikós Attila	4
2756	Anna Molska	5
2757	Jahangir Matboo	2
2758	Bánfalvy Zoltán	1
2759	Móczán Péter	1
2760	Paf	4
2761	Dajkó Tibor	2
2762	Dr. Nagy Miklós orvos	2
2763	Iski Kocsis Tibor	22
2764	Verebes Ernő	2
2765	Árvai Mária	8
2766	Joel Coen – Ethan Coen: Barton Fink	1
2767	Bartusz György	3
2768	Vince Ottó	2
2769	Horváth T.	2
2770	Rainer Steindler a Tta projektmenedzsere	2
2771	Robin Grant Sperling	2
2772	Ilya Gaponov	2
2773	Fáskerti Zsófia	11
2774	Karen Dugas	2
2775	Nina Maron	2
2776	Hordós Boldizsár	4
2777	az Ernst Múzeum igazgatója	2
2778	Vass Tibor József Attila-díjas költő	2
2779	Duray Tibor	2
2780	Hideki Iinuma (J)	1
2781	Szent Pétervár Művészeti Akademiai Anatomiai és Rajz Tanszék Vezetője	2
2782	Soós Borbála	13
2783	Fe Lugossy László	6
2784	Csizik Balázs	5
2785	Müller Péter	2
2786	Volker Morawe	2
2787	akció	2
2788	Bartłomiej Węgrzyn	1
2789	Esther Kempf	2
2790	Franciszek Groer	2
2791	Zsohár Zsuzsanna	2
2792	Locsmándi Gábor PhD  nyug. egyetemi docens	2
2793	Szabó Attila Dla - a Nyíregyházi Főiskola tanára	2
2794	Ádám Kálmán – koncert	2
2795	dr. Kovács Vilmos ezredes	2
2796	Martijn van den Bosch	1
2797	Koroknai  Zsolt	2
2798	Katerina Šević & Tehnika Schweiz (László Gergely & Rákosi Péter)	2
2799	Peter Langer	3
2800	Tamás Zsuzsa	4
2801	Francois Laquiéze	1
2802	Vass Viki	4
2803	Angel Judit és Petrányi Zsolt	2
2804	Gálffy Lola	2
2805	Ködmön Richárd	2
2806	Mag. Gregor Csörsz	1
2807	Ilauszky Tamás képzőművész	2
2808	Csató György festő	2
2809	csoportos kiállítás	56
2810	videóművészek	1
2811	Lana Bregar 	2
2812	Fonódi Luca	2
2813	Megyeri László	4
2814	Pribék Gábor	3
2815	a jogtudományok doktora	1
2816	Közreműködik Passuth Krisztina művészettörténész	2
2817	Krulik Ábel	7
2818	Matteo Camiciotti Farkas	2
2819	Hafner Mónia	2
2820	Jana Želibská	11
2821	Sander Veenhof	2
2822	Ovidiu Tichindeleanu (filozófus	2
2823	Körmendi Judit	1
2824	Sigrid Viir	2
2825	Christina Mitrentse	2
2826	Szentesi Csaba - Végh Marcell- Brigitte Lang	2
2827	Koszorús Gergely	2
2828	Gábor István	2
2829	Pink Horse Trio	2
2830	Boda András  publicista	2
2831	Kostas Makrinos	2
2832	Dobó Krisztina	27
2833	Fotográfusok	2
2834	Jakub Jernajczyk	2
2835	Mottl Rita	2
2836	Luca Kőmíves	2
2837	Andreas Reichel	1
2838	Gulyás Gyula	27
2839	Oltvölgyi Tamás	2
2840	Dorel Cozma	2
2841	Keserű Ilona	2
2842	Gottfried Helnwein	1
2843	Merkl Ákos	2
2844	Sőth Sándor	2
2845	Réti Pál	2
2846	Stano Cerny	2
2847	Gregor Różański	1
2848	Horvát Levente	2
2849	Krystian Kowalski	1
2850	Gyécsek József	1
2851	Ciprian Muresan	4
2852	Lipcsey György	3
2853	József Juhász R. (Sk/H)	2
2854	Holló Barnabás	4
2855	Farkas Viola	29
2856	Nathalie Djurberg	2
2857	keletkutató	4
2858	Kaposi Dorka művészettörténész	8
2859	Szmolka Zoltán	7
2860	Fritz Haeg előadása	2
2861	Sári Ember	2
2862	Boda András	2
2863	Szepesi Hédi	2
2864	K. Horváth Zsolt (társadalomtörténész	1
2865	Szeifert Judit	20
2866	Pablo Helguera	2
2867	Damir Rijovic Originalov	2
2868	Angol nyelven (szlovák tolmácsolással)	4
2869	Igor Bošnjak (Bih)	1
2870	Erhardt/Hecker	2
2871	Alejandro Perdomo Daniels	2
2872	Beliczay László	2
2873	Fábri Ferenc (Bid)	2
2874	Kósa János	50
2875	Miklós Erhardt	4
2876	Broussaud Gilles Fr m.v.	1
2877	Bodoni-Dombi	2
2878	a művész jelenlétében	1
2879	Tudósok Közgyógyellátó Kamarzenekar	2
2880	Megyeri Barbara Ráhel	2
2881	Kerényi János grafikusművész	1
2882	Jiri H. Kocman	2
2883	Immendorff	4
2884	Benyovszky-Szűcs Domonkos	1
2885	Szüts Miklós festőművész	8
2886	Irena Ristic	2
2887	Nagy Richárd	2
2888	Ioan Augustin Pop	1
2889	a 33. Magyar Sajtófotó Pályázat zsűrijének tagja	2
2890	Antalffy Péter.	2
2891	Fénygolyók	2
2892	Kustos Nikolett	4
2893	Pőcze Atila	1
2894	Karátson Gábor-festőművész iró	2
2895	Thorbjésoslash;rn Bechmann	2
2896	Hornyik Anna	1
2897	Esterházy Péter	15
2898	http://sfeer.c3.hu	1
2899	Helene Romakin	2
2900	Enyingi Tamás	4
2901	Előd Ágnes szobrászművész	1
2902	Független Előadóművészeti Szövetség ügyvivői	2
2903	a Műcsarnok főigazgatója	7
2904	Bogdanka Poznanović	2
2905	Báron György	6
2906	Ari S Kupsus	132
2907	Tiszta szívvel festeni	2
2908	Besenyei Zsuzsa	4
2909	Langh Róbert	8
2910	Hervé Lóránth Ervin	1
2911	Fehérvári Tamás	31
2912	Mathias Windelberg	2
2913	Edward Levinson	2
2914	Lucia Tallová	2
2915	Dr. Bodnár Zoltán  egyetemi docens	2
2916	Kopeczky Róna művészettörténész	2
2917	Bauer Eöcsi	2
2918	Yvonne Buchheim	1
2919	Orosz Károly	2
2920	Baranyay András	45
2921	Dobay Eszter	2
2922	Závorszky-Simon Márton	3
2923	rendező	6
2924	Kiss Imre	5
2925	Mayer Erzsébet kultúrtörténész	1
2926	Plank Antal	4
2927	Hollai Gábor	2
2928	Konoás Judit Emese	2
2929	Raphaël Grisey képzőművész vetítése	1
2930	Boros Miklós János	20
2931	Fejér Zoltán tárlatvezetése nyitja meg.	2
2932	Lukoviczky Endre	10
2933	Vadas József művészettörténész	6
2934	Land 3C	2
2935	A Magyar Festők Társaságának kiállítása	1
2936	Paulovkin Boglárka	4
2937	SI-la-gi	1
2938	Brândusa Armanca  moderátor	2
2939	Hatházi László András	25
2940	Verebes György Munkácsy-díjas festőművész	6
2941	Pelmuş	2
2942	Vladimir Peric Talent	2
2943	Varga Sándor	2
2944	Kortárs Művészeti Központ	2
2945	René Clair	2
2946	Merlene Dumas	2
2947	The Blue Noses	2
2948	Albert Ildikó	2
2949	Dla hallgatók	2
2950	Nemzetközi építészeti kiállítás	9
2951	Róza Janiszewska	2
2952	Gál Bettina	2
2953	Mendreczky Karina	8
2954	az Mke Intermédia tanszék hallgatói	2
2955	Börcsök Mihály	4
2956	Czifrák László üvegművész	2
2957	Dr. Baksa-Soós Vera	4
2958	köszöntőt mond: Vargha Tamás Szfv Mjv tanácsnoka	2
2959	Lucia Tkacova	2
2960	Török Anita	3
2961	Paul Harrison	1
2962	Zalabai Csilla	4
2963	Usa - Lana Ing Gabor	2
2964	Mészáros Zsófia szaxofonművész koncertje	1
2965	Nina Czegledy	8
2966	Duncan Jordanstone College of Art & Design University of Dundee	2
2967	Berkovits Balázs szociológus	1
2968	Erőss István képzőművész / visual artist	1
2969	François Fiedler tárlatán	2
2970	Kolmont Enikő	3
2971	Misch Ádám	2
2972	Dévényi Sándor Dla építész	2
2973	Michal Moravcik (Sk)	2
2974	Orosz Richárd	15
2975	Erdődy Gábor költő-műfordító	1
2976	Tia Čiček	2
2977	Katona Katalin ötvösművész	2
2978	Farkas Csaba-Kaszás Tamás	2
2979	Sirály dóri	2
2980	Marie José Burki	2
2981	Miko Malioboro	2
2982	Reczetár Ágnes	8
2983	Nicoline van Harskamp	6
2984	Opánszki Tamás festő	2
2985	Ének: Spielberger Ági	2
2986	Bme – Ipari termék-és formatervező szak: Barna Gergely	2
2987	Képíró Ágnes művészettörténész	2
2988	Sebő Ferenc	8
2989	Elekes Botond	1
2990	Veres Bálint (PhD)	1
2991	Jónás Tamás	6
2992	Etienne de Fleurieu	1
2993	Francesco Fossati	2
2994	Paweł Eibel	2
2995	Csizmadia Alexa  művészettörténész	4
2996	John Cassavetes:  New York árnyai	1
2997	Simon Menner	2
2998	Bozai Ágota író	2
2999	Hubb	2
3000	Roberta Acerboni	1
3001	Csatlakozó művészek	4
3002	RayMonde	2
3003	Petr Kvicala	1
3004	Záró tárlatvezetés	1
3005	Jerzy Grochocki	2
3006	Büki Zsuzsanna ▪ Bálint Bertalan	2
3007	Meszecsinka Duó	2
3008	Göbölyös	1
3009	Martin Pfeifle	2
3010	Florian Haas	2
3011	Fábián Kálmán	2
3012	Szipőcs Krisztina művészettörténész	5
3013	Pap Emese Dorotya	1
3014	Beate Linne	4
3015	Edőcs Katalin	2
3016	Lipka Boróka	2
3017	Katharina Immekus	5
3018	Vörös Krisztián és Terék Attila	1
3019	Werner Nekes	2
3020	Győrfi Ádám	1
3021	Fatis Alexandra	2
3022	felszólal: Őexc. Tom Nørring	2
3023	Svetlana Fialová	5
3024	Doór Attila	2
3025	Jérőme Bloch a Francia Intézet kulturális attaséja	2
3026	Fernando Renes	2
3027	Suciu Sándor Zsolt	4
3028	Agata Szydłowska	1
3029	Inge Evers	1
3030	Jim Urquhart	1
3031	a Műcsarnok főkurátora	1
3032	Gáspár Tamás	5
3033	Pierre Estourgie	2
3034	Halász János  a Nemzeti Erőforrás Minisztériumának államtitkára	2
